symbol,expiry_date,snapshot_date,futures_price,prev_price,price_chg_pct,open_interest,oi_change,volume_contracts,oi_chg_pct,buildup_type,buildup_strength,company_name,sector,market_cap_tier,is_nifty50,is_banknifty,is_nifty_next50,has_earnings_this_week,earnings_date,days_to_earnings
PFC,2026-08-25,2026-08-13,379.9,378.8,0.29,63915800,-417300,2902,-0.65,Neutral,Weak,Power Finance Corporation,Financial Services,large,False,False,True,False,,
PIDILITIND,2026-08-25,2026-08-13,1693.4,1698.5,-0.3,5827500,-72000,647,-1.22,Neutral,Weak,Pidilite Industries,Chemicals,large,False,False,True,False,,
PIIND,2026-08-25,2026-08-13,2471.9,2466.9,0.2,3945375,139300,3288,3.66,Neutral,Weak,PI Industries,Chemicals,mid,False,False,False,False,,
PNB,2026-08-25,2026-08-13,118.37,118.74,-0.31,274232000,-1312000,2485,-0.48,Neutral,Weak,Punjab National Bank,Banking,mid,False,True,True,False,,
POLYCAB,2026-08-25,2026-08-13,9317.5,9321.5,-0.04,2172750,-15375,1578,-0.7,Neutral,Weak,Polycab India,Consumer Goods,large,False,False,False,False,,
POWERGRID,2026-08-25,2026-08-13,268.35,268.45,-0.04,53800400,-655500,2152,-1.2,Neutral,Weak,Power Grid,Power,large,True,False,False,False,,
RBLBANK,2026-08-25,2026-08-13,387.3,387.4,-0.03,41671875,-31750,680,-0.08,Neutral,Weak,RBL Bank,Banking,mid,False,True,False,False,,
RECLTD,2026-08-25,2026-08-13,344.6,343.55,0.31,40349925,-1146600,3974,-2.76,Neutral,Weak,REC,Financial Services,large,False,False,True,False,,
RELIANCE,2026-08-25,2026-08-13,1316.1,1325.6,-0.72,105606500,-48500,15514,-0.05,Neutral,Weak,Reliance Industries,Oil & Gas,large,True,False,False,False,,
SAIL,2026-08-25,2026-08-13,169.58,172.55,-1.72,166215500,-531100,313,-0.32,Neutral,Weak,Steel Authority of India,Metals & Mining,mid,False,False,True,False,,
SBICARD,2026-08-25,2026-08-13,644.85,652.75,-1.21,23646400,107200,2168,0.46,Neutral,Weak,SBI Cards,Financial Services,large,False,False,False,False,,
SBILIFE,2026-08-25,2026-08-13,1819.3,1837.8,-1.01,5563500,31125,2577,0.56,Neutral,Weak,SBI Life Insurance,Financial Services,large,True,False,False,False,,
SBIN,2026-08-25,2026-08-13,1081.0,1085.9,-0.45,79801500,-1449000,7386,-1.78,Neutral,Weak,State Bank of India,Banking,large,True,True,False,False,,
SHREECEM,2026-08-25,2026-08-13,25240.0,25590.0,-1.37,373700,-4100,856,-1.09,Neutral,Weak,Shree Cement,Cement,large,False,False,False,False,,
SHRIRAMFIN,2026-08-25,2026-08-13,1134.5,1122.1,1.11,24404325,-399300,4022,-1.61,Neutral,Weak,Shriram Finance,Financial Services,large,True,False,False,False,,
SIEMENS,2026-08-25,2026-08-13,3990.6,4033.1,-1.05,3361050,-55475,2157,-1.62,Neutral,Weak,Siemens,Infrastructure,large,False,False,True,False,,
SONACOMS,2026-08-25,2026-08-13,798.55,803.95,-0.67,13040125,49000,887,0.38,Neutral,Weak,Sona BLW Precision,Automobile,mid,False,False,False,False,,
SRF,2026-08-25,2026-08-13,2612.6,2587.6,0.97,4776200,-36800,2263,-0.76,Neutral,Weak,SRF,Chemicals,mid,False,False,False,False,,
SUNPHARMA,2026-08-25,2026-08-13,1941.3,1940.6,0.04,14227850,-26950,1343,-0.19,Neutral,Weak,Sun Pharmaceutical,Pharmaceuticals,large,True,False,False,False,,
TATACONSUM,2026-08-25,2026-08-13,1092.9,1061.2,2.99,15094200,-282700,2721,-1.84,Neutral,Weak,Tata Consumer Products,Consumer Goods,large,True,False,True,False,,
TATAELXSI,2026-08-25,2026-08-13,3794.9,3732.8,1.66,2186125,-14875,1466,-0.68,Neutral,Weak,Tata Elxsi,Information Technology,mid,False,False,True,False,,
TATASTEEL,2026-08-25,2026-08-13,184.36,185.95,-0.86,179630000,22000,4874,0.01,Neutral,Weak,Tata Steel,Metals & Mining,large,True,False,False,False,,
TCS,2026-08-25,2026-08-13,2374.0,2342.2,1.36,30868650,-139725,8544,-0.45,Neutral,Weak,Tata Consultancy Services,Information Technology,large,True,False,False,False,,
TECHM,2026-08-25,2026-08-13,1648.2,1631.0,1.05,17817000,196800,2226,1.12,Neutral,Weak,Tech Mahindra,Information Technology,large,True,False,False,False,,
TIINDIA,2026-08-25,2026-08-13,2768.1,2838.8,-2.49,2223200,-19400,1307,-0.87,Neutral,Weak,Tube Investments,Automobile,mid,False,False,False,True,2026-08-14,1.0
TITAN,2026-08-25,2026-08-13,5051.7,5070.0,-0.36,5007100,-40425,3017,-0.8,Neutral,Weak,Titan Company,Consumer Goods,large,True,False,False,False,,
TMPV,2026-08-25,2026-08-13,350.95,343.65,2.12,76624000,-1110400,7636,-1.43,Neutral,Weak,Tata Motors Passenger Vehicles,Automobile and Auto Components,large,True,False,False,True,2026-08-13,0.0
TORNTPHARM,2026-08-25,2026-08-13,4907.0,4896.0,0.22,3793875,3875,1666,0.1,Neutral,Weak,Torrent Pharmaceuticals,Pharmaceuticals,mid,False,False,False,False,,
TRENT,2026-08-25,2026-08-13,3007.5,2991.0,0.55,10967625,-22500,2497,-0.2,Neutral,Weak,Trent,Consumer Services,large,True,False,False,False,,
TVSMOTOR,2026-08-25,2026-08-13,4341.7,4371.8,-0.69,7754950,-105350,3376,-1.34,Neutral,Weak,TVS Motor Company,Automobile,large,False,False,True,False,,
ULTRACEMCO,2026-08-25,2026-08-13,11684.0,11931.0,-2.07,1759650,104450,10244,6.31,Short Buildup,Moderate,UltraTech Cement,Cement,large,True,False,False,False,,
UNIONBANK,2026-08-25,2026-08-13,186.38,187.49,-0.59,109058550,482325,1766,0.44,Neutral,Weak,Union Bank of India,Banking,mid,False,False,False,False,,
UNOMINDA,2026-08-25,2026-08-13,1245.4,1245.5,-0.01,5231600,40150,976,0.77,Neutral,Weak,Uno Minda,Automobile,mid,False,False,False,False,,
UPL,2026-08-25,2026-08-13,566.6,568.3,-0.3,35926470,-63685,931,-0.18,Neutral,Weak,UPL,Chemicals,large,False,False,True,False,,
VBL,2026-08-25,2026-08-13,440.75,439.35,0.32,54958875,-63750,1398,-0.12,Neutral,Weak,Varun Beverages,Consumer Goods,large,False,False,True,False,,
VEDL,2026-08-25,2026-08-13,270.3,276.25,-2.15,61215650,365700,3758,0.6,Neutral,Weak,Vedanta,Metals & Mining,large,False,False,True,False,,
VOLTAS,2026-08-25,2026-08-13,1294.4,1291.5,0.22,7183500,120375,2614,1.7,Neutral,Weak,Voltas,Consumer Goods,mid,False,False,False,True,2026-08-14,1.0
WIPRO,2026-08-25,2026-08-13,184.45,183.88,0.31,205077000,-1464000,3653,-0.71,Neutral,Weak,Wipro,Information Technology,large,True,False,False,False,,
YESBANK,2026-08-25,2026-08-13,23.02,22.88,0.61,1117765100,-6997500,1136,-0.62,Neutral,Weak,Yes Bank,Banking,mid,False,False,False,False,,
ZYDUSLIFE,2026-08-25,2026-08-13,1172.7,1206.6,-2.81,10700100,120600,2533,1.14,Neutral,Weak,Zydus Lifesciences,Pharmaceuticals,large,False,False,False,False,,
